ADR_ID,Title,Status,Category,Batch,Depends_On,Contract_Refs,Tier,Priority,Whiteboard_Section
0001,K0/K1 Kernel Split Architecture,Accepted,Foundational,"Tier-1",N/A,"CONTRACT:K0_BRIDGE,CONTRACT:K1_ORCHESTRATOR",Core,CRITICAL,2.1-Architecture
0001a,K0 Bridge Communication Protocol,Approved,Integration,Tier-1,0001,"CONTRACT:K0_BRIDGE,CONTRACT:FLATBUFFERS",Core,CRITICAL,2.2-Bridge
0001b,Model Hub Architecture & LLM Integration,In Progress,Integration,Tier-1,0001,"CONTRACT:MODEL_HUB,CONTRACT:LAYER3_EXECUTION",Core,HIGH,2.3-ModelHub
0001e,P21+ Integration Pipeline Layer,Completed,Integration,Tier-1,0001b,"CONTRACT:INTEGRATION_PIPELINE",Extended,MEDIUM,2.4-P21Integration
0001f,K0/K1 Boundary Enforcement,Completed,Foundational,Tier-1,0001,"CONTRACT:K0_K1_BOUNDARY",Core,CRITICAL,2.1-BoundaryEnforcement
0002,Actor Model for Agent Isolation,Accepted,Foundational,Tier-1,0001,"CONTRACT:ACTOR_MODEL,CONTRACT:MAILBOX",Core,CRITICAL,3.1-ActorModel
0002a,Mailbox MPSC Queue Implementation,Completed,Implementation,Tier-1,0002,"CONTRACT:MAILBOX_QUEUE",Core,HIGH,3.2-Mailbox
0002b,Supervisor Monitoring & Crash Recovery,Completed,Implementation,Tier-1,0002,"CONTRACT:SUPERVISOR_PROTOCOL",Core,HIGH,3.3-Supervisor
0002c,Actor Router & Admission Control,Completed,Implementation,Tier-1,0002a,"CONTRACT:ROUTER_ADMISSION",Core,HIGH,3.4-Router
0002d,Observability Schema for Actor Messaging,Completed,Implementation,Tier-1,0002,"CONTRACT:ACTOR_OBSERVABILITY",Core,MEDIUM,3.5-ActorMetrics
0003,MPST Protocol Validation,Accepted,Foundational,Tier-1,0002,"CONTRACT:CORE_PROTOCOLS,CONTRACT:PDL",Core,CRITICAL,4.1-MPST
0003a,Protocol Definition Language Specification,Completed,Implementation,Tier-1,0003,"CONTRACT:PDL_SPEC",Core,HIGH,4.2-PDL
0003b,6 Core Protocol Implementations,Completed,Implementation,Tier-1,0003a,"CONTRACT:AGENT_HIRE,CONTRACT:TASK_EXECUTION,CONTRACT:CLARIFICATION,CONTRACT:BARGE_IN,CONTRACT:TOOL_CALL,CONTRACT:SAGA_ROLLBACK",Core,CRITICAL,4.3-Protocols
0003c,Protocol Monitor Runtime Implementation,Completed,Implementation,Tier-1,0003b,"CONTRACT:PROTOCOL_MONITOR",Core,HIGH,4.4-Monitor
0003d,Role Attestation & Capability Verification,Completed,Implementation,Tier-1,0010,"CONTRACT:ROLE_ATTESTATION",Core,HIGH,4.5-RoleAttestation
0004,52-Module 5-Layer Microkernel Architecture,Accepted,Foundational,Tier-1,0001,"CONTRACT:MODULE_MANIFEST,CONTRACT:LAYER_DEPENDENCIES",Core,CRITICAL,5.1-Architecture
0004a,Layer 1-2 Event Bus Communication,Completed,Implementation,Tier-1,0004,"CONTRACT:EVENT_BUS",Core,HIGH,5.2-EventBus
0004b,Module Dependency Management,Completed,Implementation,Tier-1,0004,"CONTRACT:MODULE_DEPENDENCY",Core,MEDIUM,5.3-Dependencies
0004c,Module README Template,Completed,Documentation,Tier-1,0004,"CONTRACT:MODULE_README",Extended,LOW,5.4-Documentation
0004d,Per-Layer Integration Testing,Completed,Implementation,Tier-1,0004,"CONTRACT:LAYER_TESTING",Core,HIGH,5.5-LayerTesting
